,question,answer
82,What should be the criteria for excluding an athlete or other accredited participant from competing?,"Agreed health criteria are needed for the exclusion of athletes from competing and for allowing them to return to competition wherever appropriate. These should be consistent with public health guidelines for the general population, with risk profiles based on recent travel to high-risk community transmission zones, recent contact with individuals diagnosed with or suspected of having COVID-19, current symptomatology, etc. Athletes who are feeling unwell should not participate in events.If testing of athletes has been agreed with the local public health service there is a need to consider test availability, time taken for receipt of test results and host-country health services capacity. Criteria for exclusion of officials/judges from competition and for allowing them to return to competition where appropriate should follow guidance and criteria for the workplace.Requirements for the attendance of all athletes and other accredited participants should be put in place:–   health check: travel declaration and temperature screening–   contact tracing protocols ready (with all details of those present) –   allowing extra spacing (physical distancing)–   following all hygiene precautions.  Isolation procedures for athletes and other accredited participants (e.g. field-of-play staff, medical teams, officials who have close contact with the athletes) who feel unwell or become symptomatic should be clear and documented and rehearsed prior to holding the event, especially for higher risk sports, e.g. contact sports."
83,Should event organizers provide COVID-19 testing?,"No, testing should be conducted in accordance with local health providers and national guidance.  Anyone unwell or symptomatic should not be allowed to participate in the event. Establish close collaboration with local public health authorities well before the event, to facilitate testing for athletes, officials or spectators who meet pre-agreed suspect cases definitions. Consider host-country health service capacity to manage any COVID-19 activity, and other public health issues happening at the event over and above its own national pandemic response."
84,Are there additional safeguards event organizers can implement or recommend to athletes/officials/visitors in the context of COVID-19?,"Follow standard preventative advice to the general public, including physical distancing, in the athletes’ village.Also promote:signage, digital messaging to all participants and their entourages about COVID-19 and how to prevent infectionregular disinfection and cleaning of surfaces, in venues and in personal spaces non-sharing of equipment and cleaning of equipment after each user.Organizers are recommended to develop a checklist (include hand gels stations, hygiene facilities, etc.). See the event mitigation recommendations checklist for event organizers above."
85,Is contraception/ family planning safe to use during the COVID-19 pandemic?,"Yes. All modern methods of contraception are safe to use, including during the COVID-19 pandemic.  


If you have had a baby in the last six months or have a health condition, such as diabetes, high blood pressure, or breast cancer – or if you smoke – seek advice from a health care professional to ensure you are using a method of contraception which is suitable and safe for you."
86,I want to avoid getting pregnant during the COVID-19 pandemic. What can I do?,"If you do not want to become pregnant, you should start or continue to use your contraceptive method of choice. You may be able to access information and contraceptive services from a healthcare provider by phone or online.  


If you cannot access these services you may opt for a method that is available without a prescription (such as condoms, spermicides, diaphragm, pills, or emergency contraceptive pills) from a nearby pharmacy or drug shop."
87,What is the best contraceptive method to use during the COVID-19 pandemic?,"All modern methods of contraception help to prevent pregnancy. Women and their partners can choose any modern contraceptive method that is acceptable to and safe for them. The best method of contraception is the one that works well for you.
There is a wide variety of modern methods, one of which may suit you best. For more information see here. 
Condoms, when they are used consistently and correctly, are the only method of contraception that help to prevent unintended pregnancy and protect against sexually transmitted infections, including HIV.  They can be used together with other methods of contraception to protect against both unintended pregnancy and sexually transmitted infections.
Emergency contraceptive pills can prevent up to 95% of pregnancies when taken within 5 days after intercourse, and they can be taken by anyone with or without a health condition"
88,I want to remove or replace my implant or IUD – can I do this during COVID-19 pandemic?,"Removal of long acting methods such as implants or IUDs, after the recommended period of use (and routine follow up appointments) may not be prioritized by your country’s health system during this health emergency. Seek advice from your health provider. 


If, due to restrictions on movement due to the COVID-19 pandemic you cannot have your long acting method removed straight away, it is important to use another method of contraception to avoid pregnancy at this time.   


There are no medical problems caused by delaying removal of long acting methods such as implants or IUDs. Do not try to remove the contraception method yourself; wait until you are able to access health care from a trained provider."
89,Can humans become infected with the COVID-19 from an animal source?,"Coronaviruses are a large family of viruses that are common in animals. Occasionally, people get infected with these viruses which may then spread to other people. For example, SARS-CoV was associated with civet cats and MERS-CoV is transmitted by dromedary camels. Possible animal sources of COVID-19 have not yet been confirmed.  To protect yourself, such as when visiting live animal markets, avoid direct contact with animals and surfaces in contact with animals. Ensure good food safety practices at all times. Handle raw meat, milk or animal organs with care to avoid contamination of uncooked foods and avoid consuming raw or undercooked animal products."
90,Can humans become infected with the COVID-19 from an animal source?,"Coronaviruses are a large family of viruses that are common in animals. Occasionally, people get infected with these viruses which may then spread to other people. For example, SARS-CoV was associated with civet cats and MERS-CoV is transmitted by dromedary camels. Possible animal sources of COVID-19 have not yet been confirmed.  To protect yourself, such as when visiting live animal markets, avoid direct contact with animals and surfaces in contact with animals. Ensure good food safety practices at all times. Handle raw meat, milk or animal organs with care to avoid contamination of uncooked foods and avoid consuming raw or undercooked animal products."
91,Can I catch COVID-19 from my pet?,"We are aware of instances of animals and pets of      COVID-19 patients being infected with the disease;As the intergovernmental body responsible for improving animal health      worldwide, the World Organisation for Animal Health (OIE) has been developing technical      guidance on specialised topics related to animal health, dedicated to      veterinary services and technical experts (including on testing and      quarantine);There is a possibility for some animals to become      infected through close contact with infected humans. Further evidence is      needed to understand if animals and pets can spread the      disease;Based on current evidence, human to human transmission remains      the main driver;It is still too early to say whether cats could be the      intermediate host in the transmission of the COVID-19."
92,How long does the virus survive on surfaces?,"It is not certain how long the virus that causes COVID-19 survives on surfaces, but it seems to behave like other coronaviruses. Studies suggest that coronaviruses (including preliminary information on the COVID-19 virus) may persist on surfaces for a few hours or up to several days. This may vary under different conditions (e.g. type of surface, temperature or humidity of the environment).If you think a surface may be infected, clean it with simple disinfectant to kill the virus and protect yourself and others. Clean your hands with an alcohol-based hand rub or wash them with soap and water. Avoid touching your eyes, mouth, or nose."
93,How long does the virus survive on surfaces?,"It is not certain how long the virus that causes COVID-19 survives on surfaces, but it seems to behave like other coronaviruses. Studies suggest that coronaviruses (including preliminary information on the COVID-19 virus) may persist on surfaces for a few hours or up to several days. This may vary under different conditions (e.g. type of surface, temperature or humidity of the environment).If you think a surface may be infected, clean it with simple disinfectant to kill the virus and protect yourself and others. Clean your hands with an alcohol-based hand rub or wash them with soap and water. Avoid touching your eyes, mouth, or nose."
94,Is it safe to receive a package from any area where COVID-19 has been reported?,"Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low."
95,Is there anything I should not do?,"The following measures ARE NOT effective against COVID-2019 and can be harmful:SmokingWearing multiple masksTaking antibiotics (See question 10 ""Are there any medicines of therapies that can prevent or cure COVID-19?"")In any case, if you have fever, cough and difficulty breathing seek medical care early to reduce the risk of developing a more severe infection and be sure to share your recent travel history with your health care provider."
96,Is the source of the coronavirus causing COVID-19 known?,"Currently, the source of SARS-CoV-2, the coronavirus (CoV) causing COVID-19 is unknown. All available evidence suggests that SARS-CoV-2 has a natural animal origin and is not a constructed virus. SARS-CoV-2 virus most probably has its ecological reservoir in bats. SARS-CoV-2, belongs to a group of genetically related viruses, which also include SARS-CoV and a number of other CoVs isolated from bats populations. MERS-CoV also belongs to this group, but is less closely related."
97,Is the source of the coronavirus causing COVID-19 known?,"Currently, the source of SARS-CoV-2, the coronavirus (CoV) causing COVID-19 is unknown. All available evidence suggests that SARS-CoV-2 has a natural animal origin and is not a constructed virus. SARS-CoV-2 virus most probably has its ecological reservoir in bats. SARS-CoV-2, belongs to a group of genetically related viruses, which also include SARS-CoV and a number of other CoVs isolated from bats populations. MERS-CoV also belongs to this group, but is less closely related."
98,How did the first human SARS-CoV-2 infections occur?,"The first human cases of COVID-19 were identified in Wuhan City, China in December 2019. At this stage, it is not possible to determine precisely how humans in China were initially infected with SARS-CoV-2.However, SARS-CoV, the virus which caused the SARS outbreak in 2003, jumped from an animal reservoir (civet cats, a farmed wild animal) to humans and then spread between humans. In a similar way, it is thought that SARS-CoV-2 jumped the species barrier and initially infected humans, but more likely through an intermediate host, that is another animal species more likely to be handled by humans - this could be a domestic animal, a wild animal, or a domesticated wild animal and, as of yet, has not been identified.Until the source of this virus is identified and controlled, there is a risk of reintroduction of the virus in the human population and the risk of new outbreaks like the ones we are currently experiencing."
99,Can COVID-19 be spread through coins and banknotes?,"There is currently no evidence to confirm or disprove that COVID-19 virus can be transmitted through coins or banknotes. However, respiratory droplets expelled from an infected person can contaminate and persist on surfaces. Wash your hands regularly and thoroughly after touching any frequently-touched surface or object, including coins or banknotes. Avoid touching your eyes, mouth and nose, if your hands are not cleaned."
100,How can I grocery shop safely in the time of COVID-19?,"When grocery shopping, keep at least 1-metre distance from others and avoid touching your eyes, mouth and nose. If possible, sanitize the handles of shopping trolleys or baskets before shopping. Once home, wash your hands thoroughly and also after handling and storing your purchased products. There is currently no confirmed case of COVID-19 transmitted through food or food packaging."
101,How to wash fruits and vegetables in the time of COVID-19?,"Fruits and vegetables are essential components of a healthy diet. Wash them the same way you would in any other circumstance. Before handling them, wash your hands with soap and water. Then, wash fruits and vegetables thoroughly with clean water, especially if you eat them raw."
102,Is COVID-19 airborne?,"The virus that causes COVID-19 is mainly transmitted through droplets generated when an infected person coughs, sneezes, or speaks. These droplets are too heavy to hang in the air. They quickly fall on floors or surfaces. You can be infected by breathing in the virus if you are within 1 metre of a person who has COVID-19, or by touching a contaminated surface and then touching your eyes, nose or mouth before washing your hands."
103,"I am safe, but I am suffering from mental / sexual / social / long-term physical health problems because of violence. Is there anyone who can help me during COVID-19?","As much as possible, reduce sources of stress: Maintain contact with and seek support from family and friends via phone, email, text, etc. Try to maintain daily routines and make time for physical activity and sleep. Use relaxation exercises (e.g. slow breathing, meditation, progressive muscle relaxation, grounding exercises – see WHO Clinical handbook p.70) to relieve stressful thoughts and feelings. Engage in activities that in the past have helped with managing adversity. Seek information about COVID- 19 from reliable sources and reduce the time spent consuming news (for example, 1-2 times per day, rather than every hour). Seek care from a trained health provider for symptoms and conditions including injuries that need medical attention. Due to restrictions on movement, and pressure on health systems, it may be difficult to access healthcare in person at this time. In this case, find out what is available in your locality and seek alternatives, including information and support offered by phone or online.  If you are currently receiving healthcare and support for violence-related issues this could continue during COVID-19 – this could even be by phone or online if feasible and appropriate for your health needs."
104,I am worried about someone I know. How can I help?,"If you know of, or are concerned about, someone in an abusive relationship there are some things you can do: Keep regularly in touch with the person to check that they are safe, ensuring that it is safe for them to be in touch with you. Assume that a perpetrator of violence can see, hear and or monitor communications, so find out how best to communicate with the person that you are concerned about.  Send them an SMS or message via email or social media, in a way that is safe for them. Be discrete in connecting with them when the abuser is present in the home so that they are not placed at risk of additional harm. Check each time, as this may change. Find out what services for survivors of violence against women (e.g. shelters, hotlines, counselling services, women’s organizations) are functioning during the COVID-19 pandemic and make this information available through your networks and social media. Only provide this information directly if you can do so discretely without the abuser finding out.  If someone you know needs urgent help for whatever reason, be prepared to call emergency health services, the police, health centre, or hotline."
105,I want to report an incidence of violence during COVID-19. What should I do?,"If you want to report an incidence of violence, you should follow your country’s guidance on how to report violence and contact the service where you are most likely to get a survivor-centred response.  Some countries are making exceptions to movement restrictions for reporting of violence specifically. Remember that reporting may put you at risk, so ensure you have a safety plan in place. You may find making a report mentally or emotionally difficult. Seek the support of friends, relations, neighbours or colleagues, or local support services for survivors of violence."
106,"Why is providing contraception/ family planning, as well as family planning services and information, important during the COVID-19 pandemic?","Contraception and family planning information and services are life-saving and important at all times. Sexual activity does not cease with the COVID-19 pandemic, it is therefore crucial to ensure that people are able to access rights-based services and information to initiate and / or continue use of contraception. By preventing unintended pregnancies, contraception helps to protect girls and women from the negative health consequences of unintended pregnancies, which can save their lives. Contraception reduces the need for abortion, meaning that women and girls are less at risk of unsafe abortion, which again can be lifesaving.  Condoms, when used consistently and correctly, help to prevent both unintended pregnancies and sexually transmitted infections (including HIV).  In addition, by preventing the negative health consequences associated with unintended pregnancies, unsafe abortion and sexually transmitted infections (including HIV), contraception can help alleviate unnecessary additional pressure on already-stretched health systems which are working hard to address COVID-19."
107,I have harmed or am worried about harming or hurting my partner (and children) with my words or actions. How can I stop?,"If you feel yourself getting angry or very annoyed, step away into another room if you can, or outside for a deep breath.  Count to ten and breathe in and out until you feel calmer. Count down from 10, or do anything else that may help you stay calm. Talk to a trusted friend, relative, or religious leader and if necessary seek help from local health services or specialized services if available.  Recognize that everyone in your family is experiencing stress during this time. Demonstrate kindness and patience in your words and actions.  Eliminate or reduce your alcohol consumption as much as possible. The current measures to address the COVID-19 pandemic, such as restrictions on movement, as well as financial instability caused by the crisis, are likely to add to your stress.  This is normal, and you can control how you react.  Take measures to ensure you manage your stress in a way that is respectful and safe to you and your family. Try to be kind to yourself, your partner, children and anyone else in the family."
108,I am a health worker. How can I help women survivors of violence during COVID-19?,"As a health worker, there are things you can do to help mitigate the impacts of violence on women and children at any time, including during the COVID-19 pandemic.   Whilst your time and resources may be stretched during this health emergency, you have a duty of care to women who may seek help from you – often to address physical and mental hurt caused by violence.   You may need to adjust how you deliver services, if face-to-face care is not possible. Depending on your resources consider mobile phone, WhatsApp or other communication channels to deliver support, always ensuring you can do this in a way that is safe for the survivor. Communicate openly with women about any changes in service delivery.   If a woman with suspected or confirmed COVID-19 seeks your care because of violence, your response should be the same as for any other survivor. You should however ensure that you are protected from infection, by maintaining distance where possible, wearing protective clothing, practicing respiratory hygiene, and washing hands and surfaces with soap and water regularly and after touching, to avoid infection. In any circumstances, including during the COVID-19 pandemic, health workers should provide first-line supporting, using the LIVES approach to help women survivors of violence:  Listen closely, with empathy and no judgement Inquire about women’s needs and concerns Validate women’s experiences. Show you believe and understand. Enhance their safety. Support women to connect with additional services."
109,I run a health facility. What can I do to support women survivors of violence during COVID-19?,"Identify information on local services for survivors, including on hotlines, shelters, rape crisis centers, and counselling.  Find out opening hours, contact details and whether these services can be offered remotely, and establish referral linkages.  Make these available to health care providers and easily accessible to patients/clients coming to your facility.  Support the health care providers in your facility to continue to support women survivors of violence during this time. Be prepared to shift rapidly to providing care through alternative ways, by creating effective response plans; for example, by ensuring frontline healthcare workers have phones and can charge them.  Ensure there is a protocol in place to ensure continued safe document storage in case of sudden lockdown. Inform survivors of ways they can protect themselves, and provide small credit card-size cards listing relevant phone numbers for support"
110,I am a policy maker. What can I do to prevent and address violence against women during COVID-19?,"When making preparedness and response plans for the COVID-19 pandemic, include essential services for violence against women. Allocate adequate resources for services for survivors and identify ways to make them accessible – particularly in the context of measures to restrict people’s movement. Explore the use of telemedicine, digital health, or mhealth to enhance access to support and services for survivors, while ensuring this is safe for them.  Explore alternative shelters for women who may require this. Ensure that lockdown measures do not penalize women for seeking support when experiencing violence, such as by going to the police or hospital to report violence."
111,Has violence against women increased since the beginning of the COVID-19 pandemic?,"Violence against women is highly prevalent, and intimate partner violence is the most common form of violence. During health emergencies, such as the COVID-19 pandemic, violence against women tends to increase.  Whilst data are scarce, reports from across the world, including China, the United Kingdom, the United States of America, and other countries suggest a significant increase in domestic violence cases related to the COVID-19 pandemic. Reports from other countries suggest a reduction in survivors seeking services due to a combination of lockdown measures and not wanting to attend health services for fear of infection."
112,How does COVID-19 increase risks of violence for women?,"Stress, the disruption of social and protective networks, loss of income and decreased access to services all can exacerbate the risk of violence for women. In many countries, where people are encouraged or required to stay at home, the risk of intimate partner violence is likely to increase. Please see the following resource for more detail: https://www.who.int/reproductivehealth/publications/emergencies/COVID-19-VAW-full-text.pdf In addition, access to sexual and reproductive health services will likely become more limited. Other services, such as hotlines, crisis centers, shelters, legal aid, and protection services, may also be reduced, making it difficult for women to access the few sources of help that would usually be available."
113,Who is most vulnerable?,"Women who are displaced, who are migrants or refugees, and those living in conflict-affected areas, older women and women with disabilities are particularly at risk of violence and are likely to be disproportionately affected by violence during COVID-19."
114,Why should I care about violence against women during COVID-19?,"Violence against women is a grave violation of women’s human rights, no matter when, where, or how it takes place. There are many forms of violence against women, which have many potential negative health consequences for women and their children.  Violence against women can result in injuries and serious physical, mental, sexual and reproductive health problems, including sexually transmitted infections, HIV, and unplanned pregnancies. In extreme cases, violence against women can result in death. The effects of violence are very often long-lived. Violence – in all its forms – can have an impact on a woman’s well-being throughout the rest of her life. This is unacceptable, and the risks of violence that women and their children face during the current COVID-19 crisis cannot be ignored. When we are able to prevent violence, or to support women survivors of violence, we help to safeguard women’s human rights, and promote physical and mental health and well-being for women throughout their lives. This also helps to alleviate pressure on already stretched essential public services, including the health system."
