question,answer
How effective are condoms in preventing HIV?,"When used correctly and consistently every time a person has sex, condoms are among the most effective means of preventing HIV infection in women and men."
Is there a cure for HIV?,"No, there is currently no cure for HIV. But with good and continued adherence to ART, HIV infection can be contained and managed as a chronic health condition. In all parts of the world, people living with HIV are now surviving and thriving into old age."
What other kinds of care do people living with HIV need?,"While ART helps the immune system stay strong, people living with HIV can benefit from counselling and psychosocial support to ensure that they are truly “living well” with HIV. HIV is manageable, but it is a life-long chronic illness, and people may need support with their mental health and with lifestyle changes to support good health through life. Access to good nutrition, safe water and basic hygiene can also help people living with HIV to maintain a good quality of life. As with the general community, people living with HIV may experience a broad range of other health conditions that may need treatment and care. A people-centred approach to health care, particularly through primary health services, aims to deliver comprehensive health services to people living with HIV, in which all their health issues are addressed."
What is WHO doing to stop the spread of antimalarial drug resistance in the Greater Mekong?,"WHO has coordinated and led global efforts to counter artemisinin resistance from the very beginning, providing technical guidance and mobilizing partners to action. In 2013, WHO launched the Emergency response to artemisinin resistance (ERAR) in the Greater Mekong Subregion, a high-level plan of attack to contain the spread of drug-resistant parasites and to provide life-saving tools for all populations at risk of malaria.In 2015, GMS Ministers of Health adopted the WHO Strategy for malaria elimination in the Greater Mekong Subregion (2015-2030). The plan aims to eliminate P. falciparum malaria from the subregion by 2025 and all species of human malaria by 2030. Priority action is targeted to areas where multidrug resistant malaria has taken root. This subregional strategy is fully aligned with the goals and targets of the WHO Global Technical Strategy for Malaria 2016-2030, adopted by the World Health Assembly in May 2015.With technical guidance from WHO, all GMS countries have developed national malaria elimination plans. Providing access to prevention, diagnosis and treatment for all populations at risk of malaria is a key priority. Monitoring drug efficacy and strengthening surveillance systems are other core elements of our work. Other priorities in this subregional effort are described in detail in a report published last November.WHO’s work in the GMS is a collaborative effort involving technical teams based at 6 country offices, at regional offices in New Delhi and Manila, at a special regional hub in Phnom Penh, and at WHO’s Geneva headquarters. It is a unique initiative in view of the human resources deployed and the level of integration across many layers of the Organization.WHO is leading the elimination effort in the GMS with the support of a number of partners, including the Global Fund to Fight AIDS, Tuberculosis & Malaria, the Bill & Melinda Gates Foundation, USAID, and the Australian Department of Foreign Affairs and Trade.We are winning the battle. We are on the right track. The massive reductions in disease and death reported in GMS countries are a testament to the sustained progress that has been achieved along the path toward elimination in this subregion. It is only through eliminating this parasite that we will do away – once and for all – with the problem of drug resistance in this subregion.Drug resistance in the Greater Mekong Subregion: a brief historyThe GMS has long been the epicentre of antimalarial drug resistance. Parasites resistant to chloroquine were first detected in the late 1950s along the Cambodia–Thailand border. Resistance of P. falciparum malaria parasites to artemisinin was first confirmed along the Cambodia–Thailand border in 2008. To date, artemisinin resistance has been detected in 5 countries of the GMS: Cambodia, Lao People’s Democratic Republic (PDR), Myanmar, Thailand and Viet Nam.Resistance to ACT partner drugs has also emerged in some areas of the GMS. Treatment failure with dihydroartemisinin-piperaquine (DP) was reported in Cambodia as early as 2009 and, more recently, in Lao PDR. Four studies conducted by Viet Nam’s NMCP in 2014 and 2015 demonstrated high treatment failure rates for the drug DP.When artemisinin resistance was first confirmed along the Cambodia–Thailand border in 2008, WHO took immediate action to contain its spread. A coordinated regional effort to eliminate malaria transmission in the GMS is critical to protecting the efficacy of existing antimalarial medicines.Key definitions: ACTs and artemisinin resistanceArtemisinin and its derivatives are very effective medicines known for their ability to swiftly reduce the number of parasites in the blood of patients with malaria. Artemisinin-based combination therapies (ACTs) are recommended by WHO as the first-line treatment for uncomplicated P. falciparum malaria. Over the last 15 years, expanded access to ACTs in malaria-endemic countries has played an important role in reducing the global burden of malaria.ACTs combine artemisinin with one of several partner drugs. The role of artemisinin is to dramatically reduce the number of parasites in the bloodstream during the first 3 days of treatment. The role of the partner drug is to eliminate any remaining parasites thereafter.Artemisinin resistance is defined as a delay in the clearance of parasites from the bloodstream following treatment with an ACT. Currently, most patients with delayed parasite clearance are still cured by ACTs provided the partner drug remains effective. As such, protecting the efficacy of artemisinin and its partner drugs is critically important."
What’s the good news in this year’s World malaria report 2017?,"There are several bright spots in this year’s report. First, more countries are accelerating towards elimination. In 2016, 44 countries reported less than 10 000 malaria cases, compared to just 37 countries in 2010. For the second consecutive year, the WHO European Region continued to be malaria-free.We are seeing that coverage rates of access to tools to prevent malaria, such as insecticide-treated bednets (ITNs), have increased across most WHO regions in 2016 when compared to 2010. Another positive development is that testing of suspected malaria cases in the public health sector has gone up significantly in most regions since 2010. The largest rise was recorded in the African Region, where diagnostic testing increased from 36% in 2010 to 87% in 2016. However, across all malaria control interventions, we remain significantly below the targets for universal access.Another piece of good news is that all regions recorded declines in malaria mortality in 2016 when compared to 2010, with the exception of the WHO Eastern Mediterranean Region where mortality rates have remained largely unchanged.Read the World Malaria Report 2017"
What findings concern you in the report?,"When we look closer at the data, the declining trend in malaria cases and deaths has stalled and even reversed in some regions, at least over the past three years. Equally concerning are continued gaps in coverage of basic prevention, diagnostic and treatment tools. As noted in the report, less than half of households in countries in sub-Saharan Africa have sufficient bednets, and only about one third of children in the African Region with a fever are taken to a medical provider in the public health sector."
"After years of progress, why are we seeing a slowdown in the global fight against malaria?","Globally, we can safely say that after an unprecedented period of success, we are no longer making progress, which is supported by the data in this year’s report.Identifying what is behind this trend is difficult to pinpoint; in any given country, there may be a multitude of reasons as to why the burden of malaria is increasing. Factors impacting progress could range from insufficient funding and gaps in malaria prevention interventions to climate-related variations. Without more data, it is challenging to identify, with any degree of certainty, a specific cause for the trends we are seeing. What is paramount now is taking this year’s malaria report as a wake-up call to stimulate action."
The cover of the World malaria report depicts a crossroads sign. What is the message you are communicating?,"The notion of a crossroads is meant to sum up the current status of the global response to malaria: with current levels of funding, and coverage of current tools, we have reached the limits of what can be achieved in the fight against this disease. The fact that funding for malaria has plateaued, that the number of malaria cases in 2016 is similar to the number of cases in 2012, and that there remain huge gaps in coverage of key malaria control tools, all make clear that unless we increase our efforts, we are not going to see any further progress."
Why is there a sharp decline in the use of indoor residual spraying?,"The proportion of the population at risk protected by indoor residual spraying (IRS), an intervention that involves spraying the inside walls of dwellings with insecticides, declined globally from a peak of 5.8% in 2010 to 2.9% in 2016, with decreases seen in all WHO regions. The number of people protected in 2010 was 180 million globally, reducing to about 100 million in 2016.While there is yet no clear evidence of why this is happening, the decreases in coverage with IRS insecticides are occurring as countries change or rotate the chemicals they are using to try to prevent the spread of mosquitoes resistant to pyrethroids. Because alternative insecticides are more expensive than pyrethroids, increased funding for IRS is needed to maintain high coverage levels of this key intervention to rapidly reduce malaria transmission."
How big a threat is resistance to antimalarial medicines and resistance to insecticides to global efforts to control and eliminate malaria?,"WHO takes resistance to any effective disease-cutting tools very seriously. We are working with all malaria-endemic countries to monitor the efficacy of artemisinin-based antimalarial drugs.This year’s report provides a comprehensive situation analysis to capture, by WHO region, the status of antimalarial drug efficacy. Overall, the immediate threat of antimalarial drug resistance is low and artemisinin-based combination therapy (ACT) remains efficacious in all malaria-endemic settings. Insecticide resistance is more widespread, particularly pyrethroids, which are used in bednets and for indoor residual spraying.A large multicountry evaluation coordinated by WHO between 2011 and 2016 showed that insecticides continue to be an effective tool for malaria prevention, even in areas where mosquitoes have developed resistance to pyrethroids. Further, there is no clear correlation between insecticide resistance and trends in malaria burden: some countries with resistance to pyrethroids have shown reductions in disease burden; others with less resistance have shown an increase. Ultimately, we need more data on the public health impact of insecticide resistance and further investments in this area."
Is the level of funding for the global malaria response on track to reach the 2020 targets of the global malaria strategy?,"No, the level of resources for malaria today is not sufficient to achieve the GTS targets. In 2016, an estimated US$ 2.7 billion was invested in malaria control and elimination efforts globally. This amount falls far short of our annual GTS funding target for 2020 (US$ 6.5 billion).Overall, funding for malaria has levelled off since 2010 and, when analysed on a country-by-country per capita basis, funding has decreased for many high-burden countries, averaging below US$ 2 per person at risk annually. This level translates into fewer resources available to protect increasing populations at risk of malaria.Despite the significant financial and economic crises experienced by many countries in the last few years, it is commendable that funding levels have remained stable. Still, to reach the 2020 targets of the GTS, increasing international financing and the contributions of endemic countries will be critical."
What is dengue and how is it treated?,"Dengue is a viral infection transmitted by the bite of an
infected female Aedes mosquito. There are four distinct serotypes of the
dengue virus (DEN 1, DEN 2, DEN 3 and DEN 4). Symptoms appear in 3–14
days (average 4–7 days) after the infective bite. Dengue fever is a
flu-like illness that affects infants, young children and adults.
There is no specific treatment for dengue fever. Severe dengue
is a potentially lethal complication but early clinical diagnosis and
careful clinical management by experienced physicians and nurses often
save lives.
More than 70% of the disease burden is in South-East Asia and
the Western Pacific. In Latin America and the Caribbean, the incidence
and severity of disease have increased rapidly in recent years. The
African and Eastern Mediterranean regions have also recorded more
outbreaks of the disease in the last ten years. Since 2010 indigenous
transmission of dengue has also been reported in Europe. Urbanization,
rapid movement of people and goods, favorable climatic conditions and
lack of trained staff have all contributed to the global increase of
dengue."
What is Cannabidiol and is it safe?,"Cannabidiol is one of several (probably 200) compounds of the cannabis plant.At its November 2017 meeting, the WHO Expert Committee on Drug
 Dependence (ECDD) concluded that, in its pure state, cannabidiol does 
not appear to have abuse potential or cause harm.  As such, as CBD is 
not currently a scheduled substance in its own right (only as a 
component of cannabis extracts), current information does not justify a 
change in this scheduling position and does not justify scheduling of 
the substance.However, where CBD is produced for pharmaceutical purposes as 
an extract of cannabis, cannabis extracts and tinctures are included in 
the 1961 UN Single Convention on Narcotic Drugs. A fuller review of 
extracts or preparations containing almost exclusively CBD will take 
place in June 2018, when the WHO expert committee will undertake a 
comprehensive review of cannabis and cannabis related substances.Not scheduling a substance means that it is not subject to 
strict international controls, including for production and supply.  Its
 legal status in countries is something for national legislators to 
decide. Some countries have eased regulations around cannabidiol, to 
consider products containing CBD to be medical products.  These include 
Australia, Canada, Switzerland, the United Kingdom, and the United 
States of America."
What evidence is there that Cannabidiol has value for medical use?,"WHO does not recommend cannabidiol for medical use. Initial 
evidence from animal and human studies (i.e. a controlled study in the 
New England Journal of Medicine and other reported individual cases) 
shows that its use could have some therapeutic value for seizures due to
 epilepsy and related conditions.Some people have been using cannabidiol to calm spasms during 
epileptic fits.  The New England Journal of Medicine also published a 
study lately saying there is some evidence it may be effective during 
epileptic seizures.  This means it could have some medical use but more 
evidence is needed."
What is typhoid fever?,"Typhoid fever is a life-threatening infection caused by the bacterium Salmonella Typhi.It is usually spread through contaminated food or water.Symptoms include prolonged fever, fatigue, headache, nausea, 
abdominal pain, and constipation or diarrhoea. Some patients may have a 
rash. Severe cases may lead to serious complications or even death.Typhoid fever can be treated with antibiotics although 
increasing resistance to different types of antibiotics is making 
treatment more complicated.Even when the symptoms go away, people may still be carrying 
typhoid bacteria, meaning they can spread it to others through their 
faeces.An estimated 11–20 million people get sick from typhoid and 
between 128 000 and 161 000 people die from it every year. Poor 
communities and vulnerable groups including children are at highest 
risk."
How can I protect myself from typhoid fever?,"Typhoid fever is common in places with poor sanitation and a
lack of safe drinking water. Access to safe water and adequate
sanitation, health education, appropriate hygiene among food handlers,
and typhoid vaccination are all effective strategies for prevention and
control of typhoid.
Vaccines have been used for many years to prevent typhoid:

an injectable vaccine based on the purified antigen for people over 2 years of age
a live attenuated oral vaccine in capsule formulation for people over 5 years of age.

These vaccines do not provide long-lasting immunity and are not approved for children younger than 2 years.
In December 2017, WHO prequalified the first conjugate vaccine
for typhoid. This new vaccine has longer-lasting immunity than older
vaccines, requires fewer doses, and can be given to children from the
age of 6 months.
This vaccine will be prioritized for countries with the
highest burden of typhoid disease. This will help reduce the frequent
use of antibiotics for typhoid treatment, which will slow the increase
in antibiotic resistance in Salmonella Typhi."
Why is emergency risk communication guidance needed?,"During public health emergencies, people need to know what health risks they face, and what actions they can take to protect their lives, their health, their families and communities.Accurate information, provided early, often, and in language and channels people understand, trust and use, enables people to make choices that can protect them from health hazards threatening their lives and well-being."
What is new about this guidance?,"WHO has manuals, training modules and other forms of emergency communication and risk communication guidance based on expert opinion or lessons drawn from major environmental disasters, such as the SARS outbreak of 2003 and the H1N1 influenza pandemic of 2009, rather than systematic analysis of the evidence. This is the first ever evidence-based risk communications guidance.The recommendations in this guidance are based on a systematic search of the evidence on key issues in emergency risk communication practice and experience. Not only was the academic structured evidence searched but also ‘grey literature’ to ensure that the lessons learned from recent emergencies, such as the West African Ebola virus disease outbreak in 2014–2015 and the global Zika virus outbreak in 2015–2016, were captured and explored fully.Evidence for decision making"
Who should use this guidance?,"These guidelines were developed for policy- and decision-makers responsible for managing emergencies, particularly the public health aspects of emergencies, and practitioners responsible for risk communication before, during and after health emergencies.Other groups expected to use these guidelines are front-line responders, local, national and international development partners, civil society, the private sector and all organizations, private and public, involved in emergency preparedness and response."
What are they key recommendations in this guidance?,"These guidelines provide WHO Member States, partners and stakeholders involved in emergency preparedness and response with evidence-based, up-to-date, systems-focused guidance on:building trust and engaging with communities and affected populations;integrating risk communication into existing national and local emergency preparedness and response structures, including building capacity for risk communication;emergency risk communication practice - from planning, messaging, channels and methods of communication and engagement to monitoring and evaluation - based on a systematic assessment of the evidence on what worked and what did not work during recent emergencies."
How should these guidelines be used?,"The recommendations in these guidelines provide overarching, evidence-based guidance on how risk communication should be practiced in an emergency. The recommendations also guide countries to build capacity for communicating risk during health emergencies. Specific ‘how-to-do-it’ step-by-step instructions are beyond the remit of these guidelines. However, in due course, these will be provided in detailed manuals, standard operating procedures, pocket guides, checklists, training modules and other tools developed to elaborate the recommendations."
What is the WHO malaria NAAT EQA scheme?,"The purpose of the WHO malaria NAAT EQA scheme is to offer an independent and periodic means for clinical, reference and research laboratories to verify the quality of their nucleic acid amplification (NAA)-based malaria diagnostic methods and to monitor performance over time. This is achieved through the provision of well-characterized and quality-controlled panels consisting of a blinded mix of Plasmodium-positive and -negative samples. Participants are then issued an EQA report upon submission of their analysis results. Participation in the scheme is voluntary, and results are confidential.The WHO malaria NAAT EQA scheme is coordinated by the WHO's Global Malaria Programme and distributed by the United Kingdom National External Quality Assessment Service (UK NEQAS), with a priority given to not-for-profit laboratories based in developing countries. Participation so far is free of charge.The scheme will enable laboratories to obtain an independent assessment of their NAA-based diagnostic methods in order to determine if they meet the minimum level of quality required. If any laboratory does not meet this requirement, some level of remote technical support will be offered. The laboratory will have the opportunity work on identifying and addressing any source of error in order to improve the quality and reliability of its methods."
Who can participate in the WHO NAAT EQA scheme?,"Any laboratory using NAA-based methods such as nested PCR, RT-PCR, LAMP or NASBA to detect malaria parasites is eligible for enrolment in the WHO NAAT EQA scheme. However, given that the scheme is currently run with limited funding, priority is given on a first come, first serve basis to not-for-profit laboratories based in developing countries, with the aim to generate a balance of laboratories according to testing indication, i.e. research, surveillance/surveys and geography. Laboratories wishing to participate should send a message to MalNAATEQA@who.int. In addition, calls for interest in participation are sent out to potentially interested laboratories, and enrolment is complete once favourable responses are received and letters of agreement between WHO and the participating laboratories are signed.Besides offering the free WHO NAAT EQA scheme coordinated by WHO, UK NEQAS also coordinates its own malaria molecular scheme that is subject to fees for participation ( http://www.ukneqasmicro.org.uk/parasitology/index.php/molecular-detection-of-malaria). Laboratories should participate in either the WHO scheme or the UK NEQAS scheme, but not both at the same time."
What is the frequency of panel distributions?,"The WHO NAAT EQA scheme distributes EQA panels twice a year, usually once at the end of January and once at the end of July. Exact dates depend on the practical organization of the scheme, i.e. the readiness of panels and capacity at UK NEQAS. Dates are confirmed by e-mail communication when calls for interest in participation are sent out, usually about 4–8 weeks ahead of each round of panel distributions."
Who is organizing the WHO NAAT EQA scheme?,"The WHO malaria NAAT EQA scheme is coordinated by WHO, in collaboration with Public Health England (PHE) through UK NEQAS, with support from the Foundation for Innovative New Diagnostics (FIND). WHO is responsible for the overall coordination and promotion of the scheme, while UK NEQAS holds the central repository of EQA materials and manages the scheme operations. This includes the preparation, characterization, storage and shipping of EQA panels; the issuance of EQA reports to the participating laboratories; and the handling of any logistical queries. The EQA panels undergo independent testing by referee laboratories before being distributed to the laboratories participating in the scheme.Currently, FIND provides financial support to the overall scheme and remote technical support to the participating laboratories, if required. WHO also organizes regular meetings (at least yearly) of an Advisory Group to review the scheme procedures, provide technical expertise for potential modifications to procedures and principles, review overall results of the scheme, including complaints, and discuss actions required to address major issues, if any."
How can I get enrolled in the WHO NAAT scheme?,"Interest in participation can be communicated by e-mail at any time to the WHO/GMP contact at MalNAATEQA@who.int. Calls for interest in participation are also sent out by e-mail to potentially interested laboratories about 4–8 weeks before each round of panel distributions. A Letter of Agreement (LOA) and laboratory profile template are issued to the interested institution or organization.The laboratory profile template requires participants to provide contact and shipping information (including special requirements such as permits for importation of biological samples), and to describe the laboratory’s capacity for identifying Plasmodium spp. It, along with the LOA (between the participating laboratory and WHO), needs to be completed and sent back to MalNAATEQA@who.int. Once the LOA has been signed by both parties and the laboratory profile is complete, the laboratory is registered in the scheme for an unlimited period of time. The laboratory will receive login details to connect to the UK NEQAS webportal for the WHO NAAT EQA scheme, and will be contacted ahead of each round of panel distributions to organize shipments."
What is a laboratory profile template and why am I being asked for this?,"The laboratory profile is a template that contains a series of questions to be completed before a laboratory can enrol in the WHO NAAT EQA scheme. Its purpose is to clarify which types of malaria diagnosis will be done on the EQA panels at the laboratory, i.e. which nucleic acid extraction and amplification methods will be used, and most importantly, the laboratory’s capacity in terms of diagnostic outputs, e.g. detection of Plasmodium spp. only or additional identification of species, including P. knowlesi or not.The scheme organizers need this critical information in order to accurately calculate success scores when laboratories submit their EQA testing results. Correct completion of the laboratory profile is mandatory for enrolment in the WHO NAAT EQA scheme."
What is multidrug-resistant tuberculosis and how do we control it?,"The bacteria that cause tuberculosis (TB) can develop resistance to the antimicrobial drugs used to cure the disease. Multidrug-resistant TB (MDR-TB) is TB that does not respond to at least
isoniazid and rifampicin, the 2 most powerful anti-TB drugs.
The 2 reasons why multidrug resistance continues to emerge and
spread are mismanagement of TB treatment and person-to-person
transmission. Most people with TB are cured by a strictly followed,
6-month drug regimen that is provided to patients with support and
supervision. Inappropriate or incorrect use of antimicrobial drugs, or
use of ineffective formulations of drugs (such as use of single drugs,
poor quality medicines or bad storage conditions), and premature
treatment interruption can cause drug resistance, which can then be
transmitted, especially in crowded settings such as prisons and
hospitals. 
In some countries, it is becoming increasingly difficult to
treat MDR-TB. Treatment options are limited and expensive, recommended
medicines are not always available, and patients experience many adverse
effects from the drugs. In some cases even more severe drug-resistant
TB may develop. Extensively drug-resistant TB, XDR-TB, is a form of
multidrug-resistant TB with additional resistance to more anti-TB drugs
that therefore responds to even fewer available medicines. It has been
reported in 117 countries worldwide.
Drug resistance can be detected using special laboratory tests
which test the bacteria for sensitivity to the drugs or detect
resistance patterns. These tests can be molecular in type (such as Xpert
MTB/RIF) or else culture-based. Molecular techniques can provide
results within hours and have been successfully implemented even in low
resource settings.
New WHO recommendations aim to speed up detection and improve
treatment outcomes for MDR-TB through use of a novel rapid diagnostic
test and a shorter, cheaper treatment regimen. At less than US$ 1000 per
patient, the new treatment regimen can be completed in 9–12 months. Not
only is it less expensive than current regimens, but it is also
expected to improve outcomes and potentially decrease deaths due to
better adherence to treatment and reduced loss to follow-up.
Solutions to control drug-resistant TB are to:

cure the TB patient the first time around
provide access to diagnosis
ensure adequate infection control in facilities where patients are treated
ensure the appropriate use of recommended second-line drugs.

In 2016, an estimated 490 000 people worldwide developed
MDR-TB, and an additional 110 000 people with rifampicin-resistant TB
were also newly eligible for MDR-TB treatment. The countries with the
largest numbers
of MDR/RR-TB cases (47% of the global total) were China, India and the
Russian Federation. It is estimated that about 6.2% of these cases were
XDR-TB."
What about malaria elimination – are countries progressing?,"Yes, there is progress towards elimination, but the picture is mixed. Of the 91 countries with malaria transmission, 37 reported fewer than 10 000 cases in 2010 and, by 2016, that number rose to 44 countries. Kyrgyzstan and Sri Lanka were certified by WHO as malaria free in 2016, and Algeria, which remained malaria free in 2016, is now eligible for certification. Further, Argentina and Paraguay have begun the certification process.One of the 2020 milestones of the WHO Global Technical Strategy for Malaria 2016- 2030 (GTS) is eliminating malaria in at least 10 countries that had malaria transmission in 2015. This means that a country must achieve at least one year of zero indigenous cases by 2020.Early last year, WHO identified 21 countries with the potential to reach the 2020 elimination target. Our latest World malaria report shows that 11 of these countries have recorded increases in indigenous malaria cases since 2015, and 5 countries reported an increase of more than 100 cases in 2016 compared with 2015. Nonetheless, I am optimistic that at least 10 countries will meet the target.Read the Global Technical Strategy for Malaria"
How does WHO arrive at its estimates for cases in the World malaria report?,"WHO applies 3 methods for calculating estimates of malaria cases. One method uses routine data from countries without any adjustments; in other words, we use the data ""as is"", directly from the country. This approach applies to countries that have very low malaria cases, high-quality surveillance systems, and are near elimination.The second method is for countries outside of sub-Saharan Africa, excluding Botswana, Ethiopia, Namibia and Rwanda, that have a good public health surveillance system but where a large proportion of patients seek care in the private sector or do not seek treatment at all. Here, adjustments for confirmation, reporting and treatment seeking rates are applied to the reported data.The third method applies to most countries in the WHO African Region where surveillance systems have been historically weak. As a result, to come up with a reliable estimate, we measure the relationship between parasite prevalence and case incidence within a specific area."
The World malaria report 2017 indicates that this year’s estimates are conservative. What does this mean?,"In many countries in the African Region, improvements in surveillance systems are providing new insights. Data from these countries show that the existing WHO model used to estimate malaria cases – i.e. parasite rate to incidence – is likely underestimating the actual number of cases in many countries in the region. In 2018, WHO will do a comprehensive review of our malaria burden estimation methods for the African Region."
This year’s report looks at the impact of emergencies and political instability on malaria progress. Why include this?,"As part of the report’s section on threats to global malaria progress, we highlight concrete examples of the impact of conflict, humanitarian crises and political volatility on malaria control and elimination efforts. The 4 case studies on malaria epidemics in Nigeria, South Sudan, Yemen and the Bolivarian Republic of Venezuela demonstrate the fragility of progress and how gains can be reversed, even due to a short period of conflict or economic shocks. For example, Venezuela’s northern region was certified as malaria free in 1961, but last year it was the leading country in the Americas in terms of malaria burden. And in Yemen, due to the ongoing humanitarian situation, there is a reversal of progress under way with an increase in malaria cases seen in 2016."
Last question – what are you most concerned about in the global fight against malaria?,"Malaria represents one of the biggest success stories in recent times in terms of best value for money in public health. Millions of cases and deaths have been averted since 2000 through the scale-up of effective interventions.Having said that, I am concerned that we have become complacent and expect progress to continue at the same levels of funding. Since 2013, the rate of progress has either slowed or stalled in many malaria-endemic countries. We have an opportunity
                to double down our efforts, and it is not just about increasing financing. It also means better and smarter ways to invest available resources. Closing gaps in coverage of the tools that we know work is absolutely critical, as is continued
                investment in the research and development of new tools."
Do I need to pay to participate in the scheme?,"Participation in the scheme is currently free of charge; the laboratory simply has to cover any costs associated with the reception of the panels (e.g. customs charges, travel to nearest airport) and the testing itself.However, to ensure the long-term sustainability of the scheme, the implementation of a participation fee is planned for the near future to cover at least part of the running costs of the scheme. The fee will be determined based on a dedicated cost estimation model."
What is the composition of the EQA panels?,"Currently, the panel includes 10 lyophilized blood (LB) and 10 dried blood spot (DBS) samples. Malaria-containing samples have varying parasite densities, ranging from 50 to 2 000 000 parasites per microliter of blood (p/mL). Parasite-positive samples can be from any of the five species known to infect humans, i.e. P. falciparum, P. vivax, P. malariae, P. ovale or P. knowlesi, depending on availability. The lyophilized and DBS samples do not share the same composition, i.e. different species and/or parasite densities can be included."
How are the panels prepared?,"Briefly, parasites are obtained either through in vitro culture of laboratory strains – in the case of P. falciparum and P. knowlesi – or by using leftover blood from clinical samples. Parasite-negative blood for negative control samples and for the dilution of parasites is obtained from accredited blood banks and pre-screened by PCR to confirm the absence of Plasmodium parasites.After determining the densities of the cultured or clinical parasite samples by expert microscopy, they are diluted with parasite-negative blood to parasite densities ranging from 50 to 2 000 000 p/mL. Samples are mixed thoroughly at each dilution step. To prepare LB samples, dilutions are then aliquoted in 500 µL volumes and lyophilized. To prepare DBS samples, 50 µL volumes are deposited on Protein Saver 903 DBS cards and air-dried for 3–4 hours. All samples are stored at -80°C for long-term storage, but can be shipped and transported at ambient temperature.A more detailed description of the preparation procedures can be found in the Operational Manual of the WHO NAAT EQA scheme, version 1.0."
What method should I use for testing the panels?,"Each laboratory should test the panels using the extraction and amplification methods that it routinely uses for testing clinical or research study samples. Laboratories are permitted to submit only one result per sample. Laboratories are requested to provide information on the methods used, such as the test’s name or kit details, along with their final result in the online results submission form. Repeat testing should only be done in the case of indeterminate results or suspicion of methodological errors, just as would be done routinely for any clinical or research study sample."
What if I get substandard scoring results?,"An incident review form is available online from the UK NEQAS website. Laboratories receiving substandard results should complete this form and send it to the scheme manager at parasit@ukneqas.org.uk, with copy to the WHO contact at MalNAATEQA@who.int. Laboratories can also request a repeat panel to be shipped for re-testing and further investigation, at the same e-mail addresses. Additional remote technical support is currently provided by FIND (until 30 June 2018) and by members of the WHO Advisory Group and/or representatives of the referee laboratories if their time and workload allow. It is the participating laboratory’s right to decide if its EQA results can be shared with these third-party sources of technical support, as well as other information such as instruments or reagents used and results from any repeat or troubleshooting experiments generated through this investigational process.It is the participating laboratory’s right to decide if its EQA results can be shared with these third-party sources of technical support, as well as other information such as instruments or reagents used and results from any repeat or troubleshooting experiments generated through this investigational process.From time to time, webinars will be organized to give registered laboratories the opportunity to ask questions from a panel of experts in the field of molecular-based malaria diagnostics.Ultimately, it is the laboratory’s responsibility to investigate and address any problems. Sponsors of the laboratory should consider allocating appropriate resources to improve the quality management system (QMS) of the laboratory, as required."
Are results kept confidential?,"Yes. All testing results are kept strictly confidential; only the laboratory itself can access them through the UK NEQAS webportal using its specific login and password. Otherwise, only staff from the scheme’s organizing team can access individual results for the purposes of data analysis and reporting. Only anonymized and aggregated results will be used for publication or communication to the scheme’s Advisory Group.If substandard results require any remedial action or technical support, the scheme organizers will first seek the laboratory’s interest and approval to involve any third parties such as technical staff from FIND or members of the Advisory Group. If the laboratory agrees, test results will then be communicated to facilitate troubleshooting and remediation."
Can I communicate my results to others?,"Each laboratory is free to communicate part or all of its testing results to any third party without the need to inform WHO or UK NEQAS. Communication of the scheme results is encouraged in order to confirm the laboratory’s performance level for potential collaborators, donors, regulatory authorities and others. Communication of substandard results is also encouraged in order to seek assistance or funding for training workshops, and to work on improving the laboratory’s performance."
How can I get help if facing problems with the webpage?,"Participants can send an e-mail to the UK NEQAS scheme manager at parasit@ukneqas.org.uk, with a description of the problem, screenshots or other useful information."
How can I get help to improve my performance?,"As described under the question ‘what if I get substandard results’, the laboratory can request a repeat panel to be shipped for re-testing and further investigation of the reasons behind the bad results. Repeat panels can be requested by contacting the scheme manager at parasit@ukneqas.org.uk, with copy to the WHO contact at MalNAATEQA@who.int. Remote technical support can also be offered by FIND (until 30 June 2018) and/or staff from the referee laboratories of the scheme and the WHO Advisory Group, depending on availability.It is nevertheless the laboratory’s responsibility to work on improving its performance and solving any quality issues. Therefore, other options should also be considered, including participating in training workshops, working with collaborating laboratories, investing in an improved QMS, and so on."
What happens if I drop a specimen vial by mistake?,"If a specimen vial from the EQA panel set gets damaged, dropped or lost for some reason, the scheme can send repeat specimens. For this, the laboratory can simply contact the scheme manager at parasit@ukneqas.org.uk, with copy to the WHO contact at MalNAATEQA@who.int, explaining the reason for the request and specifying how many vials of which specimen are required. As the scheme is run with limited funding, this offer of repeat specimens should be used sparingly, only in the case of real need."
Is the WHO NAAT EQA scheme accredited to any ISO standards?,"The WHO NAAT EQA scheme is conducted at the same quality standard as UK NEQAS’s own molecular malaria scheme. UK NEQAS holds a UKAS accreditation in accordance with ISO 17043: 2010, which means that all laboratory procedures, processes, infrastructure, staff, data, documents etc. are managed according to well-defined procedures and at a high level of quality, as defined by the ISO 17043: 2010 standard."
